codigo,nome,lat,lng,data,id_google,cota_ref,atencao,alerta,inundacao,imagem,ativar
10100000,Tabatinga,-4.2347,-69.9447,12/05/2025,hybas_6121082960,N,0,0,0,imagens/hybas_6121082960.png,S
14100000,Manacapuru,-3.3106,-60.6094,12/05/2025,hybas_6120285310,S,1770,1820,1960,imagens/hybas_6120285310.png,S
14110000,Cucuí,1.2153,-66.8525,12/05/2025,hybas_6120185460,N,0,0,0,imagens/hybas_6120185460.png,S
14250000,São Felipe,0.3717,-67.3128,12/05/2025,hybas_6120200910,N,0,0,0,imagens/hybas_6120200910.png,S
14420000,Serrinha,-0.4819,-64.8289,12/05/2025,hybas_6120217970,N,0,0,0,imagens/hybas_6120217970.png,S
14515000,Fazenda Passarão,3.2078,-60.5711,12/05/2025,ANA_14515000,N,0,0,0,imagens/ANA_14515000.png,S
14527000,Ponte do Tacutu,3.5675,-59.8883,12/05/2025,ANA_14527000,N,0,0,0,imagens/ANA_14527000.png,S
14620000,Boa Vista,2.8271,-60.6521,12/05/2025,hybas_6120155910,S,750,800,850,imagens/hybas_6120155910.png,S
14650000,Posto Funai,2.7317,-62.0172,12/05/2025,hybas_6120158190,N,0,0,0,imagens/hybas_6120158190.png,S
14680001,Fé Esperança,2.8646,-61.4146,12/05/2025,hybas_6120155040,N,0,0,0,imagens/hybas_6120155040.png,S
14690000,Mucajaí,2.5271,-60.9396,12/05/2025,hybas_6120162080,N,0,0,0,imagens/hybas_6120162080.png,S
14710000,Caracaraí,1.8104,-61.1229,12/05/2025,hybas_6120174530,S,800,850,900,imagens/hybas_6120174530.png,S
14740000,Fazenda Anauá,1.1271,-60.2188,12/05/2025,hybas_6120186820,N,0,0,0,imagens/hybas_6120186820.png,S
14840000,Moura,-1.4567,-61.6347,12/05/2025,hybas_6120238590,N,0,0,0,imagens/hybas_6120238590.png,S
15400000,Porto Velho,-8.7483,-63.9169,12/05/2025,hybas_6120442450,N,0,0,0,imagens/hybas_6120442450.png,S
15630000,Humaitá,-7.5028,-63.0183,12/05/2025,hybas_6120410130,N,0,0,0,imagens/hybas_6120410130.png,S
16030000,Itacoatiara,-3.1539,-58.4111,12/05/2025,hybas_6121071910,S,1350,1400,1420,imagens/hybas_6121071910.png,S
16368000,Mineração Caima,-1.4381,-57.8269,12/05/2025,hybas_6120238270,N,0,0,0,imagens/hybas_6120238270.png,S
17050001,Óbidos,-1.9192,-55.5131,12/05/2025,hybas_6120251180,N,0,0,0,imagens/hybas_6120251180.png,S
17430000,Barra do São Miguel,-7.3397,-58.1553,12/05/2025,hybas_6120405310,N,0,0,0,imagens/hybas_6120405310.png,S
14558000,Fazenda Paraíso,3.3178,-60.3447,12/05/2025,hybas_6121017240,N,0,0,0,imagens/hybas_6121017240.png,S
14495000,Fazenda Cajupiranga,3.4381,-61.0367,12/05/2025,hybas_6120145490,N,0,0,0,imagens/hybas_6120145490.png,S
13470000,BRASILÉIA,-11.0178,-68.7450,12/05/2025,hybas_6120508030,N,0,0,0,imagens/hybas_6120508030.png,S
13550000,XAPURI,-10.6511,-68.5075,12/05/2025,hybas_6120498120,N,0,0,0,imagens/hybas_6120498120.png,S
13568000,CAPIXABA (Colocação São José),-10.3886,-67.9353,12/05/2025,hybas_6120491820,N,0,0,0,imagens/hybas_6120491820.png,S
13600002,RIO BRANCO,-9.9750,-67.8008,12/05/2025,hybas_6120480060,N,0,0,0,imagens/hybas_6120480060.png,S
13445000,PONTE BRASIL-PERU,-10.9414,-69.5769,12/05/2025,hybas_6120505600,N,0,0,0,imagens/hybas_6120505600.png,S
13572000,ESPALHA (Seringal Belo Horizonte),-10.0050,-68.5294,12/05/2025,hybas_6120481730,N,0,0,0,imagens/hybas_6120481730.png,S
13578000,RIO ROLA (Ramal do Barro Alto),-10.0567,-67.9639,12/05/2025,hybas_6120483620,N,0,0,0,imagens/hybas_6120483620.png,S
12520000,IPIXUNA,-7.0556,-71.6892,12/05/2025,hybas_6120397220,N,0,0,0,imagens/hybas_6120397220.png,S
12500000,CRUZEIRO DO SUL,-7.6333,-72.6603,12/05/2025,hybas_6120412050,N,0,0,0,imagens/hybas_6120412050.png,S
12550000,EIRUNEPÉ - MONTANTE,-6.6844,-69.8811,12/05/2025,hybas_6120386180,N,0,0,0,imagens/hybas_6120386180.png,S
12840000,GAVIÃO,-4.8392,-66.8506,12/05/2025,hybas_6120328880,N,0,0,0,imagens/hybas_6120328880.png,S
12557000,JORDÃO,-9.1883,-71.9525,12/05/2025,hybas_6120457900,N,0,0,0,imagens/hybas_6120457900.png,S
12590000,PONTE DE TARAUACÁ,-8.1519,-70.7456,12/05/2025,hybas_6120429230,N,0,0,0,imagens/hybas_6120429230.png,S
56110005,Ponte Nova,-20.4146,-42.9063,12/05/2025,hybas_6120714080,S,240,280,330,imagens/hybas_6120714080.png,S
56659998,Nova Era IV,-19.7688,-43.0104,12/05/2025,hybas_6120702120,S,300,350,470,imagens/hybas_6120702120.png,S
56696000,Mario de Carvalho,-19.5354,-42.6729,12/05/2025,hybas_6120697890,S,450,540,620,imagens/hybas_6120697890.png,S
56719998,Belo Oriente,-19.3271,-42.3688,12/05/2025,hybas_6121241700,S,760,860,900,imagens/hybas_6121241700.png,S
56825000,Naque Velho,-19.2146,-42.3896,12/05/2025,hybas_6121240820,S,540,640,740,imagens/hybas_6121240820.png,S
56891900,Vila Matias,-18.5688,-41.9021,12/05/2025,hybas_6120679490,S,620,660,700,imagens/hybas_6120679490.png,S
56850000,Governador Valadares,-18.8979,-41.9604,12/05/2025,hybas_6120685700,S,300,320,360,imagens/hybas_6120685700.png,S
56920000,Tumiritinga,-18.9771,-41.6146,12/05/2025,hybas_6120686970,S,350,400,450,imagens/hybas_6120686970.png,S
56994500,Colatina,-19.5354,-40.6479,12/05/2025,hybas_6120697910,S,460,530,580,imagens/hybas_6120697910.png,S
56998200,Linhares,-19.4146,-40.0729,12/05/2025,hybas_6120695400,S,280,300,345,imagens/hybas_6120695400.png,S
41410000,Jequitiba,-19.2313,-44.0229,12/05/2025,hybas_6120692210,S,800,1000,1180,imagens/hybas_6120692210.png,S
41818000,Santo Hipólito,-18.3646,-44.2604,12/05/2025,hybas_6121233680,S,540,640,745,imagens/hybas_6121233680.png,S
41195050,Rio Acima,-20.1271,-43.7938,12/05/2025,hybas_6120708840,S,440,540,640,imagens/hybas_6120708840.png,S
41200430,Raposos,-19.9729,-43.8063,12/05/2025,hybas_6120705740,S,400,470,570,imagens/hybas_6120705740.png,S